restaurant_id,name,lat,lng,zone_id,zone_name
R-0063,One Way Foods,18.4956381,73.8107689,3,Viman Nagar
R-0064,Basho's,18.5306779,73.9183814,2,Kothrud
R-0065,Eddie's Kitchen,18.5175183,73.8748581,2,Kothrud
R-0066,Donut Magic,18.481153,73.901725,4,Wakad
R-0067,Sicilia Italian Restaurant & Lounge,18.539333,73.87508,2,Kothrud
R-0068,Kwality,18.4917721,73.900206,4,Wakad
R-0069,Panchvati Gaurav,18.5178988,73.8386127,0,Hinjewadi
R-0070,Greenfood,18.501756,73.8105515,3,Viman Nagar
R-0071,Smokin' Joe's,18.4987975,73.8132784,3,Viman Nagar
R-0072,The Flour Works,18.5490038,73.9004452,2,Kothrud
R-0073,Wadeshwar,18.5184279,73.8416116,0,Hinjewadi
R-0074,Amrapali,18.518642,73.8415805,0,Hinjewadi
R-0075,Barbeque Nation,18.5163182,73.8423121,0,Hinjewadi
R-0076,Vaishali,18.520848,73.8412179,0,Hinjewadi
R-0077,Baadshahi,18.5086926,73.8488417,0,Hinjewadi
R-0078,Roopali,18.5193443,73.8414253,0,Hinjewadi
R-0079,Do Say Idlicious,18.5617981,73.7835145,1,Baner
R-0080,Chaitanya Paranthas,18.5097729,73.816251,3,Viman Nagar
R-0081,Hotel Nilayam Family Restaurant,18.5596449,73.7900382,1,Baner
R-0082,Eden Court,18.5325596,73.8341131,0,Hinjewadi
R-0083,Little Italy,18.5348218,73.8381397,0,Hinjewadi
R-0084,Soul Kitch,18.5348843,73.8381849,0,Hinjewadi
R-0085,Four Seasons Restaurant & Bar,18.5036735,73.8215607,3,Viman Nagar
R-0086,Yolkshire,18.5032899,73.8216326,3,Viman Nagar
R-0087,Krishna Pure Veg,18.487046,73.8128332,3,Viman Nagar
R-0088,Shivsagar,18.5202983,73.8457959,0,Hinjewadi
R-0089,Chaat Cafe,18.5013222,73.8221818,3,Viman Nagar
R-0090,Wadeshwar,18.5013733,73.8221823,3,Viman Nagar
R-0091,Siya,18.4990493,73.8193074,3,Viman Nagar
R-0092,Abhishek Non-Veg,18.5040868,73.8305613,0,Hinjewadi
R-0093,Kalinga Seafood Restaurant,18.5080294,73.8350616,0,Hinjewadi
R-0094,Manali,18.5027646,73.8288666,0,Hinjewadi
R-0095,Pavitra,18.5014649,73.8268161,3,Viman Nagar
R-0096,Swami,18.5080004,73.8350198,0,Hinjewadi
R-0097,Kalyani Veg,18.5457379,73.9058142,2,Kothrud
R-0098,The Bounty Sizzlers,18.5488016,73.9054218,2,Kothrud
R-0099,Konkan Express,18.4981982,73.8139826,3,Viman Nagar
R-0100,Sheetal,18.5024496,73.8161157,3,Viman Nagar
R-0101,Kimaya,18.5049037,73.8219181,3,Viman Nagar
R-0102,Olivia,18.5054189,73.8232962,3,Viman Nagar
R-0103,Rana,18.5023108,73.8050581,3,Viman Nagar
