restaurant_id,name,lat,lng,zone_id,zone_name
R-0105,Darja Misal,18.509449,73.846814,3,Viman Nagar
R-0106,New Apoorwai,18.5142459,73.8461682,2,Kothrud
R-0107,Shri Niyanand Bhuvan,18.5127211,73.8585547,3,Viman Nagar
R-0108,Anand Pav Bhaji,18.4907367,73.8230134,1,Baner
R-0109,Sanman,18.490578,73.8233399,1,Baner
R-0110,Aapulaki,18.4907109,73.8229752,1,Baner
R-0111,Food Junction,18.4907421,73.8229778,1,Baner
R-0112,Phadke Dining Hall,18.5085672,73.8512576,3,Viman Nagar
R-0113,Surabhi,18.5254288,73.8496605,2,Kothrud
R-0114,Kailas,18.5309533,73.8756088,0,Hinjewadi
R-0115,Shivprasad,18.5310569,73.8757443,0,Hinjewadi
R-0116,Prem Resto Bar,18.5077353,73.8291342,1,Baner
R-0117,Gandharva,18.5226465,73.8490851,2,Kothrud
R-0118,Café Canada,18.5272371,73.8639446,0,Hinjewadi
R-0119,Golden Dragon,18.5027182,73.8173606,1,Baner
R-0120,Aakash,18.5239983,73.8413832,2,Kothrud
R-0121,Nandu's Parathas,18.5359384,73.875879,0,Hinjewadi
R-0122,Maratha Moglai,18.5358201,73.8762411,0,Hinjewadi
R-0123,Kapila,18.5340845,73.8765697,0,Hinjewadi
R-0124,Restaurant 124,18.5197288,73.862533,4,Wakad
R-0125,Restaurant 125,18.5207018,73.8648453,4,Wakad
R-0126,Joshi Upahar Gruha,18.5067125,73.8284664,1,Baner
R-0127,Pahunchar Swayampak Ghar,18.4992194,73.8312585,1,Baner
R-0128,Pradnya Resturant,18.4923919,73.8542599,3,Viman Nagar
R-0129,Sante Spa Cuisine,18.5333049,73.88742,0,Hinjewadi
R-0130,Restaurant 130,18.5248153,73.8416321,2,Kothrud
R-0131,Lalit Mahal,18.5284491,73.8427597,2,Kothrud
R-0132,Tandoor Point,18.5403938,73.8303164,5,Kharadi
R-0133,The Verandah,18.5049649,73.8314747,1,Baner
R-0134,Hotel Peacock,18.504806,73.855013,3,Viman Nagar
R-0135,Kwality Resto Bar & Restaurant,18.5087947,73.8352105,1,Baner
R-0136,Girija Juice Bar,18.5060971,73.8523384,3,Viman Nagar
R-0137,Restaurant 137,18.5092879,73.8490814,3,Viman Nagar
R-0138,Ganjraj,18.5091877,73.8539352,3,Viman Nagar
R-0139,Mathura,18.5189279,73.8446593,2,Kothrud
R-0140,Barometer,18.4988618,73.8192031,1,Baner
R-0141,Bacharika Kitchen & Bar,18.5027208,73.8170739,1,Baner
R-0142,signature,18.521665,73.8717493,4,Wakad
R-0143,New Poona Boarding House,18.5116828,73.8486243,3,Viman Nagar
R-0144,Paasha,18.5324919,73.8295514,5,Kharadi
R-0145,Shrimanti Misal and Snacks,18.5059152,73.8527205,3,Viman Nagar
R-0146,Mess 2,18.5266135,73.8389423,2,Kothrud
R-0147,Minal Khanawal,18.5127605,73.8443893,2,Kothrud
R-0148,sooth indian dosa shop,18.5108703,73.8488493,3,Viman Nagar
R-0149,vedanti mess,18.5106947,73.848385,3,Viman Nagar
R-0150,sandip poha,18.5098934,73.8509332,3,Viman Nagar
R-0151,kaku chi mess,18.5100593,73.8509422,3,Viman Nagar
R-0152,bhola tea shop,18.5115436,73.8485853,3,Viman Nagar
R-0153,minal veg thali,18.5093739,73.8489161,3,Viman Nagar
R-0154,Omkar tea shop,18.5108357,73.8486976,3,Viman Nagar
R-0155,Ani kay hav tea shop,18.5108847,73.8490435,3,Viman Nagar
R-0156,nagar misal shop,18.5093912,73.849086,3,Viman Nagar
R-0157,bhigavan fish dishes,18.5103753,73.8487826,3,Viman Nagar
R-0158,krishna veg thali,18.5099293,73.8488159,3,Viman Nagar
R-0159,bhosale maratha mess,18.5101538,73.8486642,3,Viman Nagar
R-0160,satvik veg thali,18.5095811,73.8489221,3,Viman Nagar
R-0161,Masaledar biryani,18.5128546,73.8453131,2,Kothrud
